ID,Ronda,Rival,Resultado
1039,9,Dillon Kleinvehn [US],Win
1039,8,Karl Kopczynski [US],Win
1039,7,Kian Sayan [US],Win
1039,6,Jerry Woods III [US],Loss
1039,5,Vince De Vera [CA],Win
1039,4,Zachary Weed [US],Win
1039,3,Lorenzo Arce [US],Win
1039,2,David Kriner [US],Win
1039,1,Brett Coleman [US],Loss
1040,15,Riley Factura [US],Loss
1040,14,Jonathan Duran [US],Win
1040,13,Tianshu Ren [US],Win
1040,12,Devon Singh [US],Loss
1040,11,Owen Murphy [US],Loss
1040,10,Zackary Thornberg [US],Win
1040,9,Brendan Zheng [US],Loss
1040,8,Sebastian Guerrero [US],Win
1040,7,Noah Gardner [US],Win
1040,6,Averi Biery [US],Win
1040,5,Dylan Stybel [US],Win
1040,4,Nick Willems [US],Loss
1040,3,Walter Morales [US],Win
1040,2,C.J Maffris [US],Win
1040,1,Leah Ramsier [US],Win
1041,15,Shiliang Tang [CN],Loss
1041,14,Jeudy Azzarelli [US],Loss
1041,13,Jonathan Zuniga [US],Win
1041,12,Donghun Youm [US],Win
1041,11,Justin Carris [US],Win
1041,10,Mia Gray [US],Loss
1041,9,John Lyons [US],Win
1041,8,Alex Hoak [US],Win
1041,7,Matthew Lapico [US],Win
1041,6,Julio Guzman [US],Win
1041,5,Trista Medine [US],Loss
1041,4,Daniel Medina [US],Win
1041,3,Timothy Kendall [US],Loss
1041,2,Travis Brunell [US],Win
1041,1,Austin Glaze [US],Win
1042,15,Noah Gardner [US],Win
1042,14,Jonathan Quiñones [US],Loss
1042,13,Stephen Hill [US],Win
1042,12,Toler Webb [US],Loss
1042,11,Shiliang Tang [CN],Loss
1042,10,Dylan Simmons [US],Win
1042,9,Raymond Pifer [US],Win
1042,8,Alex Romeu [US],Win
1042,7,Jonathan Quiñones [US],Loss
1042,6,Michael Spinetta-McCarthy [US],Win
1042,5,Noah Ramsden [US],Win
1042,4,Ben Grissmer [US],Win
1042,3,David Smith [US],Win
1042,2,Drew Brown [US],Loss
