Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6,Archetype
Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Snarl,Howl,Iron Hands,Assault Vest,Quark Drive,Fire,Wild Charge,Drain Punch,Ice Punch,Fake Out,Kingambit,Safety Goggles,Defiant,Dragon,Kowtow Cleave,Iron Head,Sucker Punch,Swords Dance,Primarina,Choice Specs,Liquid Voice,Grass,Hyper Voice,Moonblast,Dazzling Gleam,Hydro Cannon,Sinistcha,Mental Herb,Heatproof,Fairy,Matcha Gotcha,Calm Mind,Strength Sap,Trick Room,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,0
Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Parting Shot,Will-O-Wisp,Fake Out,Urshifu-Rapid-Strike,Focus Sash,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,Protect,Rillaboom,Assault Vest,Grassy Surge,Poison,Grassy Glide,Wood Hammer,U-turn,Fake Out,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Imprison,Icy Wind,Protect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Imprison,Protect,Raging Bolt,Leftovers,Protosynthesis,Fairy,Dragon Pulse,Thunderclap,Calm Mind,Protect,1
Tornadus,Rocky Helmet,Prankster,Steel,Protect,Tailwind,Sunny Day,Bleakwind Storm,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Chi-Yu,Choice Specs,Beads of Ruin,Ghost,Heat Wave,Snarl,Dark Pulse,Overheat,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Taunt,Icy Wind,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Horn Leech,Follow Me,Ivy Cudgel,4
Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,High Horsepower,Fake Out,Raging Bolt,Leftovers,Protosynthesis,Grass,Thunderclap,Dragon Pulse,Calm Mind,Protect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Follow Me,Spiky Shield,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Outrage,Stomping Tantrum,Aerial Ace,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Sucker Punch,Sacred Sword,Protect,0
Kingambit,Assault Vest,Defiant,Fairy,Kowtow Cleave,Iron Head,Low Kick,Sucker Punch,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sacred Sword,Sucker Punch,Protect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Rillaboom,Miracle Seed,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,3
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Sunny Day,Icy Wind,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Electroweb,Draco Meteor,Snarl,Entei,Sitrus Berry,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Ice Spinner,Sucker Punch,Sacred Sword,Protect,0
Ursaluna,Flame Orb,Guts,Ghost,Facade,Earthquake,Swords Dance,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Calm Mind,Dragon Pulse,Protect,Incineroar,Assault Vest,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,U-turn,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Cresselia,Safety Goggles,Levitate,Poison,Moonblast,Lunar Blessing,Trick Room,Helping Hand,23
Chi-Yu,Choice Specs,Beads of Ruin,Ghost,Heat Wave,Dark Pulse,Snarl,Overheat,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,Tornadus,Covert Cloak,Prankster,Steel,Tailwind,Sunny Day,Taunt,Bleakwind Storm,Walking Wake,Life Orb,Protosynthesis,Fire,Hydro Steam,Draco Meteor,Protect,Flamethrower,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Shadow Ball,Moonblast,Icy Wind,Raging Bolt,Leftovers,Protosynthesis,Grass,Thunderclap,Dragon Pulse,Calm Mind,Thunderbolt,0
Landorus,Life Orb,Sheer Force,Poison,Sandsear Storm,Sludge Bomb,Calm Mind,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Taunt,Protect,Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Taunt,Tailwind,Rain Dance,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,0
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Sunny Day,Taunt,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Chi-Yu,Choice Specs,Beads of Ruin,Ghost,Overheat,Heat Wave,Dark Pulse,Snarl,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,4
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Power Gem,Iron Bundle,Booster Energy,Quark Drive,Ice,Freeze-Dry,Icy Wind,Encore,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Swords Dance,Spiky Shield,Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,Fake Out,U-turn,Raging Bolt,Leftovers,Protosynthesis,Fairy,Dragon Pulse,Thunderclap,Calm Mind,Protect,Incineroar,Sitrus Berry,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,0
Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Protect,Ice Spinner,Sacred Sword,Sucker Punch,Ting-Lu,Rocky Helmet,Vessel of Ruin,Poison,Protect,Taunt,Ruination,Sand Tomb,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Dondozo,Leftovers,Oblivious,Fairy,Protect,Wave Crash,Heavy Slam,Yawn,Gholdengo,Choice Scarf,Good as Gold,Steel,Trick,Steel Beam,Make It Rain,Shadow Ball,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Aerial Ace,Outrage,Stomping Tantrum,50
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Protect,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Flare Blitz,Parting Shot,Knock Off,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Snarl,Electroweb,Draco Meteor,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect,4
Pelipper,Focus Sash,Drizzle,Ghost,Hurricane,Weather Ball,Tailwind,Wide Guard,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Sludge Bomb,Pollen Puff,Rage Powder,Baxcalibur,Clear Amulet,Thermal Exchange,Poison,Ice Shard,Glaive Rush,Swords Dance,Protect,Archaludon,Assault Vest,Stamina,Fairy,Electro Shot,Draco Meteor,Flash Cannon,Body Press,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,18
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,U-turn,Aqua Jet,Close Combat,Surging Strikes,Amoonguss,Sitrus Berry,Regenerator,Water,Pollen Puff,Rage Powder,Spore,Protect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Incineroar,Safety Goggles,Intimidate,Ghost,Parting Shot,Flare Blitz,Fake Out,Knock Off,Archaludon,Assault Vest,Stamina,Fairy,Flash Cannon,Dragon Pulse,Body Press,Electro Shot,Pelipper,Focus Sash,Drizzle,Flying,Hurricane,Weather Ball,Tailwind,Wide Guard,18
Whimsicott,Focus Sash,Prankster,Ghost,Moonblast,Tailwind,Beat Up,Sunny Day,Terrakion,Covert Cloak,Justified,Grass,Rock Slide,Sacred Sword,Swords Dance,Protect,Indeedee-F,Sitrus Berry,Psychic Surge,Fairy,Follow Me,Dazzling Gleam,Imprison,Trick Room,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Moonblast,Power Gem,Iron Crown,Booster Energy,Quark Drive,Water,Tachyon Cutter,Expanding Force,Tera Blast,Protect,Chi-Yu,Choice Scarf,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Overheat,Ruination,0
Amoonguss,Rocky Helmet,Regenerator,Water,Clear Smog,Pollen Puff,Spore,Rage Powder,Glimmora,Power Herb,Toxic Debris,Rock,Spiky Shield,Earth Power,Meteor Beam,Sludge Bomb,Dondozo,Leftovers,Unaware,Grass,Order Up,Earthquake,Wave Crash,Protect,Annihilape,Choice Scarf,Defiant,Fighting,U-turn,Final Gambit,Close Combat,Shadow Claw,Chien-Pao,Life Orb,Sword of Ruin,Dark,Ice Spinner,Protect,Sucker Punch,Sacred Sword,Tatsugiri,Focus Sash,Commander,Water,Muddy Water,Draco Meteor,Taunt,Protect,0
Incineroar,Sitrus Berry,Intimidate,Ghost,Fake Out,Flare Blitz,Taunt,Parting Shot,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Follow Me,Ivy Cudgel,Wood Hammer,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind,Whimsicott,Covert Cloak,Prankster,Steel,Tailwind,Sunny Day,Fake Tears,Moonblast,Raging Bolt,Assault Vest,Protosynthesis,Fire,Thunderclap,Thunderbolt,Dragon Pulse,Weather Ball,Landorus,Life Orb,Sheer Force,Poison,Protect,Substitute,Earth Power,Sludge Bomb,0
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Incineroar,Sitrus Berry,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Icy Wind,Tailwind,Protect,Gholdengo,Metal Coat,Good as Gold,Fairy,Make It Rain,Shadow Ball,Nasty Plot,Protect,Regidrago,Dragon Fang,Dragon's Maw,Steel,Dragon Energy,Draco Meteor,Earth Power,Protect,4
Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Electroweb,Snarl,Draco Meteor,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Power Gem,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect,Tornadus,Covert Cloak,Prankster,Steel,Bleakwind Storm,Tailwind,Sunny Day,Icy Wind,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Heatran,Life Orb,Flash Fire,Fairy,Heat Wave,Flash Cannon,Earth Power,Protect,0
Tatsugiri,Focus Sash,Commander,Water,Draco Meteor,Muddy Water,Taunt,Protect,Dondozo,Leftovers,Unaware,Fairy,Wave Crash,Body Press,Substitute,Protect,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Acrobatics,Earthquake,Protect,Ninetales-Alola,Light Clay,Snow Warning,Fire,Blizzard,Aurora Veil,Moonblast,Protect,Articuno,Choice Specs,Snow Cloak,Ice,Blizzard,Freeze-Dry,Ice Beam,Sheer Cold,Glimmora,Sitrus Berry,Toxic Debris,Water,Mortal Spin,Toxic Spikes,Power Gem,Spiky Shield,0
Ting-Lu,Rocky Helmet,Vessel of Ruin,Poison,Sand Tomb,Ruination,Taunt,Protect,Dondozo,Sitrus Berry,Oblivious,Grass,Wave Crash,Heavy Slam,Yawn,Protect,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Breaking Swipe,Howl,Heat Crash,Burning Bulwark,Dragonite,Choice Band,Inner Focus,Normal,Extreme Speed,Stomping Tantrum,Aerial Ace,Outrage,Gholdengo,Choice Specs,Good as Gold,Fairy,Make It Rain,Shadow Ball,Trick,Protect,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Sucker Punch,Sacred Sword,Protect,50
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Perish Song,Shadow Ball,Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,Iron Bundle,Booster Energy,Quark Drive,Ice,Freeze-Dry,Hydro Pump,Icy Wind,Protect,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Calm Mind,Protect,Dragon Pulse,Urshifu,Choice Scarf,Unseen Fist,Poison,Wicked Blow,Poison Jab,Close Combat,Sucker Punch,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,U-turn,0
Farigiraf,Sitrus Berry,Armor Tail,Grass,Psychic,Trick Room,Dazzling Gleam,Helping Hand,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Wood Hammer,Ivy Cudgel,Follow Me,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Protect,Earth Power,Blood Moon,Hyper Voice,Iron Hands,Clear Amulet,Quark Drive,Fire,Close Combat,Fake Out,Wild Charge,Heavy Slam,Tornadus,Rocky Helmet,Prankster,Steel,Protect,Tailwind,Taunt,Bleakwind Storm,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Wicked Blow,Sucker Punch,Close Combat,2
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Breaking Swipe,Heat Crash,Howl,Burning Bulwark,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Taunt,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind,Kingambit,Assault Vest,Defiant,Fairy,Kowtow Cleave,Iron Head,Sucker Punch,Low Kick,Rillaboom,Miracle Seed,Grassy Surge,Fire,Wood Hammer,Grassy Glide,Fake Out,Protect,3
Glimmora,Power Herb,Toxic Debris,Grass,Mortal Spin,Meteor Beam,Sludge Bomb,Spiky Shield,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sacred Sword,Sucker Punch,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Icy Wind,Protect,Shadow Ball,Tatsugiri,Wide Lens,Commander,Poison,Muddy Water,Draco Meteor,Taunt,Protect,Entei,Life Orb,Inner Focus,Normal,Sacred Fire,Stomping Tantrum,Extreme Speed,Protect,Dondozo,Leftovers,Unaware,Grass,Earthquake,Order Up,Tera Blast,Protect,0
Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Electroweb,Dragon Pulse,Snarl,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Rillaboom,Miracle Seed,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Taunt,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,40
Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Sacred Sword,Protect,Ting-Lu,Assault Vest,Vessel of Ruin,Poison,Stomping Tantrum,Ruination,Heavy Slam,Snarl,Flutter Mane,Figy Berry,Protosynthesis,Dragon,Shadow Ball,Moonblast,Calm Mind,Protect,Dragonite,Choice Band,Inner Focus,Normal,Outrage,Aerial Ace,Brick Break,Extreme Speed,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,0
Weavile,Focus Sash,Pressure,Ghost,Fake Out,Knock Off,Icicle Crash,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Shadow Ball,Moonblast,Dazzling Gleam,Protect,Landorus,Life Orb,Sheer Force,Poison,Sludge Bomb,Earth Power,Sandsear Storm,Protect,Tornadus,Sitrus Berry,Prankster,Steel,Tailwind,Rain Dance,Taunt,Bleakwind Storm,Amoonguss,Rocky Helmet,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Wood Hammer,Follow Me,Spiky Shield,0
Incineroar,Safety Goggles,Intimidate,Ghost,Flare Blitz,Knock Off,Fake Out,Parting Shot,Pelipper,Focus Sash,Drizzle,Flying,Hurricane,Weather Ball,Tailwind,Wide Guard,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,Aqua Jet,U-turn,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind,Archaludon,Assault Vest,Stamina,Fairy,Flash Cannon,Electro Shot,Dragon Pulse,Snarl,Amoonguss,Sitrus Berry,Regenerator,Steel,Pollen Puff,Spore,Rage Powder,Protect,14
Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Follow Me,Helping Hand,Trick Room,Dazzling Gleam,Gallade,Clear Amulet,Sharpness,Grass,Psycho Cut,Sacred Sword,Wide Guard,Trick Room,Ursaluna,Flame Orb,Guts,Ghost,Protect,Earthquake,Headlong Rush,Facade,Lilligant-Hisui,Focus Sash,Chlorophyll,Ghost,After You,Sleep Powder,Solar Blade,Close Combat,Torkoal,Choice Specs,Drought,Fire,Eruption,Heat Wave,Earth Power,Weather Ball,Armarouge,Power Herb,Flash Fire,Grass,Expanding Force,Armor Cannon,Trick Room,Meteor Beam,24
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Porygon2,Eviolite,Download,Flying,Tera Blast,Ice Beam,Recover,Trick Room,Ursaluna,Flame Orb,Guts,Ghost,Facade,Headlong Rush,Earthquake,Protect,Amoonguss,Rocky Helmet,Regenerator,Ghost,Spore,Rage Powder,Sludge Bomb,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,Parting Shot,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Substitute,Protect,57
Raging Bolt,Leftovers,Protosynthesis,Fairy,Protect,Calm Mind,Dragon Pulse,Thunderclap,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Wood Hammer,Ivy Cudgel,Stomping Tantrum,Incineroar,Sitrus Berry,Intimidate,Ghost,Parting Shot,Knock Off,Will-O-Wisp,Fake Out,Urshifu-Rapid-Strike,Focus Sash,Unseen Fist,Water,Protect,Close Combat,Surging Strikes,Aqua Jet,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Icy Wind,Taunt,1
Roaring Moon,Booster Energy,Protosynthesis,Flying,Protect,Knock Off,Acrobatics,Dragon Dance,Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Trick Room,Recover,Gholdengo,Choice Specs,Good as Gold,Fairy,Make It Rain,Shadow Ball,Dazzling Gleam,Trick,Landorus,Life Orb,Sheer Force,Poison,Protect,Earth Power,Sludge Bomb,Substitute,Incineroar,Sitrus Berry,Intimidate,Grass,Flare Blitz,Knock Off,Fake Out,Parting Shot,Amoonguss,Rocky Helmet,Regenerator,Water,Protect,Spore,Rage Powder,Pollen Puff,12
Rillaboom,Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,U-turn,Fake Out,Incineroar,Shuca Berry,Intimidate,Ghost,Fake Out,Parting Shot,Will-O-Wisp,Flare Blitz,Urshifu-Rapid-Strike,Mystic Water,Unseen Fist,Fire,Protect,Close Combat,Aqua Jet,Surging Strikes,Raging Bolt,Booster Energy,Protosynthesis,Fairy,Protect,Calm Mind,Dragon Pulse,Thunderclap,Chien-Pao,Clear Amulet,Sword of Ruin,Fire,Protect,Sucker Punch,Icicle Crash,Sacred Sword,Gholdengo,Leftovers,Good as Gold,Fairy,Protect,Make It Rain,Shadow Ball,Nasty Plot,1
Urshifu-Rapid-Strike,Focus Sash,Unseen Fist,Water,Detect,Surging Strikes,Close Combat,Aqua Jet,Incineroar,Safety Goggles,Intimidate,Ghost,Knock Off,Will-O-Wisp,Fake Out,Parting Shot,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderbolt,Draco Meteor,Thunderclap,Electroweb,Amoonguss,Sitrus Berry,Regenerator,Water,Protect,Sludge Bomb,Rage Powder,Spore,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Spiky Shield,Ivy Cudgel,Power Whip,Stomping Tantrum,58
Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Okidogi,Assault Vest,Guard Dog,Water,Drain Punch,Gunk Shot,Knock Off,Upper Hand,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Landorus,Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Rillaboom,Miracle Seed,Grassy Surge,Fire,Fake Out,Wood Hammer,Grassy Glide,U-turn,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Flare Blitz,Rock Slide,Extreme Speed,Head Smash,0
Dragonite,Loaded Dice,Inner Focus,Steel,Scale Shot,Extreme Speed,Iron Head,Protect,Ting-Lu,Rocky Helmet,Vessel of Ruin,Poison,Ruination,Sand Tomb,Body Press,Protect,Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Gholdengo,Choice Specs,Good as Gold,Fairy,Make It Rain,Shadow Ball,Dazzling Gleam,Trick,Dondozo,Leftovers,Oblivious,Grass,Wave Crash,Heavy Slam,Yawn,Protect,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Breaking Swipe,Heat Crash,Howl,Protect,50
Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Follow Me,Wood Hammer,Spiky Shield,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Detect,Close Combat,Rillaboom,Miracle Seed,Grassy Surge,Steel,Fake Out,Protect,Grassy Glide,Wood Hammer,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Protect,Icy Wind,Moonblast,Raging Bolt,Assault Vest,Protosynthesis,Electric,Snarl,Electroweb,Dragon Pulse,Thunderclap,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Taunt,Sludge Bomb,Protect,40
Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Swords Dance,Spiky Shield,Rillaboom,Assault Vest,Grassy Surge,Fire,Wood Hammer,Grassy Glide,U-turn,Fake Out,Raging Bolt,Leftovers,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Calm Mind,Protect,Incineroar,Sitrus Berry,Intimidate,Ghost,Knock Off,Will-O-Wisp,Parting Shot,Fake Out,1
Archaludon,Assault Vest,Stamina,Bug,Body Press,Electro Shot,Dragon Pulse,Flash Cannon,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Knock Off,Will-O-Wisp,Landorus,Life Orb,Sheer Force,Steel,Protect,Sandsear Storm,Earth Power,Sludge Bomb,Pelipper,Focus Sash,Drizzle,Stellar,Hurricane,Weather Ball,Wide Guard,Tailwind,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Ice Spinner,Close Combat,Surging Strikes,U-turn,Amoonguss,Sitrus Berry,Regenerator,Fairy,Pollen Puff,Spore,Protect,Rage Powder,18
Amoonguss,Rocky Helmet,Regenerator,Fairy,Spore,Rage Powder,Pollen Puff,Clear Smog,Cresselia,Safety Goggles,Levitate,Steel,Psychic,Trick Room,Lunar Blessing,Ice Beam,Archaludon,Assault Vest,Stamina,Fairy,Heavy Slam,Dragon Pulse,Electro Shot,Body Press,Chien-Pao,Life Orb,Sword of Ruin,Grass,Ice Spinner,Sucker Punch,Tera Blast,Protect,Pelipper,Focus Sash,Drizzle,Stellar,Weather Ball,Hurricane,Wide Guard,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,Aqua Jet,U-turn,0
