ID,Ronda,Rival,Resultado
NOf-1101,3,maiuri,Loss
NOf-1102,DROP,DROP,DROP
NOf-1102,DROP,DROP,DROP
NOf-1103,1,patcon5,Win
NOf-1103,2,sdgryo,Win
NOf-1103,3,ducelimone,Win
NOf-1103,4,danyll,Win
NOf-1103,5,garracrema,Loss
NOf-1103,6,mrawesome,Win
NOf-1103,7,fmonkee,Loss
NOf-1103,8,falafel,Win
NOf-1103,T4-2,fmonkee,Win
NOf-1103,T2-1,glacier,Win
NOf-1103,T16-8,sanvy,Win
NOf-1103,T8-4,tabu,Win
NOf-1104,1,heyitsleonn,Win
NOf-1104,2,tagami,Win
NOf-1104,3,tyranitarthighs,Win
NOf-1104,4,builderbe,Win
NOf-1104,5,juanmael32,Win
NOf-1104,6,garracrema,Win
NOf-1104,7,giulio97,Loss
NOf-1104,8,prettyflacko,Win
NOf-1104,T16-1,elale,Win
NOf-1104,T8-1,gahaku,Win
NOf-1104,T4-1,marlox,Win
NOf-1104,T2-1,lildarkrai68,Loss
NOf-1105,1,mrquinnplays,Win
NOf-1105,2,wiktor_10011,Win
NOf-1105,3,tabu,Loss
NOf-1105,4,mcsquidzy,Win
NOf-1105,5,lelandvgc,Win
NOf-1105,6,occhialidicampo,Win
NOf-1105,7,lildarkrai68,Win
NOf-1105,8,nator92,Loss
NOf-1105,T4-2,lildarkrai68,Loss
NOf-1105,T8-3,garracrema,Win
NOf-1105,T16-6,pengy,Win
NOf-1106,1,flima,Loss
NOf-1106,2,alkai,Win
NOf-1106,3,tagami,Win
NOf-1106,4,cactusmax,Win
NOf-1106,5,epicshakenbake,Win
NOf-1106,6,gahaku,Win
NOf-1106,7,pengy,Loss
NOf-1106,8,damianlillardvgc,Win
NOf-1106,T4-1,glacier,Loss
NOf-1106,T8-2,giulio97,Win
NOf-1106,T16-3,nator92,Win
NOf-1107,1,altkyle,Win
NOf-1107,2,microwave,Win
NOf-1107,3,blackstarmie,Win
NOf-1107,4,tabu,Win
NOf-1107,5,lildarkrai68,Win
NOf-1107,6,glacier,Loss
NOf-1107,7,damianlillardvgc,Win
NOf-1107,8,shinevgc,Win
NOf-1107,T16-5,juanmael32,Win
NOf-1107,T8-3,fmonkee,Loss
NOf-1108,1,dinomike,Win
NOf-1108,2,zeonser,Win
NOf-1108,3,fmonkee,Win
NOf-1108,4,garracrema,Loss
NOf-1108,5,forcho97,Win
NOf-1108,6,lorenzaooooo,Win
NOf-1108,7,mikehawk12,Win
NOf-1108,8,pengy,Win
NOf-1108,T16-7,faux0011,Win
NOf-1108,T8-4,lildarkrai68,Loss
NOf-1109,1,ruanoliver,Win
NOf-1109,2,alexmusi,Win
NOf-1109,3,epicshakenbake,Win
NOf-1109,4,pengy,Loss
NOf-1109,5,fsufan45,Win
NOf-1109,6,pixiefruitz,Win
NOf-1109,7,glacier,Win
NOf-1109,8,sanvy,Win
NOf-1109,T16-4,mikehawk12,Win
NOf-1109,T8-2,marlox,Loss
NOf-1110,1,kwl911,Win
NOf-1110,2,getsugaowl,Win
NOf-1110,3,pengy,Loss
NOf-1110,4,charismaacheck,Win
NOf-1110,5,mushy,Win
NOf-1110,6,marlox,Loss
NOf-1110,7,nicohax,Win
NOf-1110,8,mrawesome,Win
NOf-1110,T8-1,glacier,Loss
NOf-1110,T16-2,shinevgc,Win
NOf-1111,1,prettyflacko,Win
NOf-1111,2,pokewarrior,Win
NOf-1111,3,andreasmusikant,Win
NOf-1111,4,sophialee,Win
NOf-1111,5,lorenzaooooo,Win
NOf-1111,6,shinevgc,Loss
NOf-1111,7,danyll,Win
NOf-1111,8,fmonkee,Win
NOf-1111,T16-3,marlox,Loss
NOf-1112,1,patillac,Win
NOf-1112,2,jido,Win
NOf-1112,3,damianlillardvgc,Win
NOf-1112,4,chocbrewis,Win
NOf-1112,5,pixiefruitz,Win
NOf-1112,6,rpjoca,Win
NOf-1112,7,shinevgc,Win
NOf-1112,8,giulio97,Loss
NOf-1112,T16-8,lildarkrai68,Loss
NOf-1113,1,vgcle,Win
NOf-1113,2,elale,Win
NOf-1113,3,gahaku,Win
NOf-1113,4,giulio97,Win
NOf-1113,5,shinevgc,Loss
NOf-1113,6,exonarf,Win
NOf-1113,7,marlox,Win
NOf-1113,8,tabu,Loss
NOf-1113,T16-6,fmonkee,Loss
NOf-1114,1,japacama,Win
NOf-1114,2,tazzawells,Win
NOf-1114,3,marchena14,Win
NOf-1114,4,exonarf,Win
NOf-1114,5,pengy,Win
NOf-1114,6,nator92,Win
NOf-1114,7,sanvy,Loss
NOf-1114,8,garracrema,Loss
NOf-1114,T16-2,gahaku,Loss
NOf-1115,1,sglez124,Win
NOf-1115,2,danh,Win
NOf-1115,3,pixiefruitz,Loss
NOf-1115,4,matthew_witt,Win
NOf-1115,5,zeonser,Win
NOf-1115,6,808,Win
NOf-1115,7,tabu,Loss
NOf-1115,8,danyll,Win
NOf-1115,T16-4,giulio97,Loss
NOf-1116,1,stecca,Win
NOf-1116,2,danyll,Loss
NOf-1116,3,charmanditoabm,Win
NOf-1116,4,damianlillardvgc,Loss
NOf-1116,5,windmill,Win
NOf-1116,6,rickinch,Win
NOf-1116,7,808,Win
NOf-1116,8,rpjoca,Win
NOf-1116,T16-7,tabu,Loss
NOf-1117,1,damianlillardvgc,Loss
NOf-1117,2,lalowoofl3,Win
NOf-1117,3,juancach,Win
NOf-1117,4,soraxjm,Win
NOf-1117,5,glacier,Loss
NOf-1117,6,altkyle,Win
NOf-1117,7,exonarf,Win
NOf-1117,8,lelandvgc,Win
NOf-1117,T16-5,garracrema,Loss
NOf-1118,1,imtengenuzui,Win
NOf-1118,2,pengy,Loss
NOf-1118,3,rosswo,Win
NOf-1118,4,luckysama,Loss
NOf-1118,5,knigthgamer,Win
NOf-1118,6,itivgc,Win
NOf-1118,7,efravgc,Win
NOf-1118,8,soraxjm,Win
NOf-1118,T16-1,glacier,Loss
NOf-1119,1,soilchemy,Win
NOf-1119,2,cactusmax,Win
NOf-1119,3,occhialidicampo,Loss
NOf-1119,4,ilsommo,Win
NOf-1119,5,gahaku,Loss
NOf-1119,6,blackstarmie,Win
NOf-1119,7,silvermac,Win
NOf-1119,8,lemonpi,Win
NOf-1120,1,luckysama,Win
NOf-1120,2,faux0011,Win
NOf-1120,3,lelandvgc,Win
NOf-1120,4,lildarkrai68,Loss
NOf-1120,5,greggs_pepperoni_pizza,Win
NOf-1120,6,mastrota89,Win
NOf-1120,7,nator92,Loss
NOf-1120,8,mikehawk12,Loss
NOf-1121,1,juanmael32,Win
NOf-1121,2,guschar,Win
NOf-1121,3,sanvy,Loss
NOf-1121,4,faux0011,Win
NOf-1121,5,japacama,Win
NOf-1121,6,lemonpi,Win
NOf-1121,7,garracrema,Loss
NOf-1121,8,marlox,Loss
NOf-1122,1,ilsommo,Win
NOf-1122,2,shinobi,Win
NOf-1122,3,danyll,Loss
NOf-1122,4,blackstarmie,Win
NOf-1122,5,fmonkee,Loss
NOf-1122,6,wiktor_10011,Win
NOf-1122,7,pixiefruitz,Win
NOf-1122,8,juanmael32,Loss
NOf-1123,1,pisco2296,Loss
NOf-1123,2,ariesxvgc,Win
NOf-1123,3,sdgryo,Loss
NOf-1123,4,thebardo,Win
NOf-1123,5,elale,Loss
NOf-1123,6,riku,Win
NOf-1123,7,windmill,Win
NOf-1123,8,thazkid1,Win
NOf-1124,1,thebardo,Loss
NOf-1124,2,silverdragon550,Win
NOf-1124,3,shinobi,Win
NOf-1124,4,thazkid1,Win
NOf-1124,5,sophialee,Win
NOf-1124,6,lildarkrai68,Loss
NOf-1124,7,mcsquidzy,Win
NOf-1124,8,gahaku,Loss
NOf-1125,1,torevgc,Win
NOf-1125,2,exonarf,Loss
NOf-1125,3,microwave,Win
NOf-1125,4,baldovgc,Win
NOf-1125,5,prettyflacko,Win
NOf-1125,6,damianlillardvgc,Loss
NOf-1125,7,sophialee,Win
NOf-1125,8,mushy,Loss
NOf-1126,1,jido,Loss
NOf-1126,2,vossi,Win
NOf-1126,3,vgcle,Win
NOf-1126,4,valkyrievgc,Win
NOf-1126,5,builderbe,Win
NOf-1126,6,sanvy,Loss
NOf-1126,7,thazkid1,Win
NOf-1126,8,faux0011,Loss
NOf-1127,1,nator92,Loss
NOf-1127,2,mrquinnplays,Win
NOf-1127,3,bowdeniscomp,Win
NOf-1127,4,alexmusi,Win
NOf-1127,5,lemonpi,Loss
NOf-1127,6,epicshakenbake,Win
NOf-1127,7,japacama,Win
NOf-1127,8,glacier,Loss
NOf-1128,1,tongo21,Win
NOf-1128,2,pixiefruitz,Loss
NOf-1128,3,forcho97,Loss
NOf-1128,4,jeremagician,Win
NOf-1128,5,ducelimone,Win
NOf-1128,6,luckysama,Win
NOf-1128,7,gahaku,Loss
NOf-1128,8,japacama,Win
NOf-1129,1,maiuri,Win
NOf-1129,2,glacier,Loss
NOf-1129,3,marlox,Loss
NOf-1129,4,guschar,Loss
NOf-1129,5,shinobi,Win
NOf-1129,6,axily,Win
NOf-1129,7,ilsommo,Win
NOf-1129,8,epicshakenbake,Win
NOf-1130,1,bigjackcombo,Win
NOf-1130,2,occhialidicampo,Loss
NOf-1130,3,elale,Loss
NOf-1130,4,riku,Loss
NOf-1130,5,spigglez,Win
NOf-1130,6,calitym,Win
NOf-1130,7,keabane,Win
NOf-1130,8,efravgc,Win
NOf-1131,1,nagiyi,Win
NOf-1131,2,gahaku,Loss
NOf-1131,3,brunopcx,Loss
NOf-1131,4,axily,Win
